has_mfa,mfa_coverage,patch_days,training_percent,has_irp,vulnerabilities,employees,industry_code,breach_occurred
1,84,30,96,0,12,339,2,0
1,97,14,53,1,4,363,3,0
1,96,30,99,1,24,271,3,0
0,0,14,13,0,19,401,4,1
0,0,30,99,1,17,134,4,1
0,0,90,18,1,46,316,1,1
1,81,30,14,1,17,276,1,0
1,49,60,65,0,1,456,3,0
0,0,14,93,1,9,450,0,0
1,82,7,59,0,44,392,2,0
1,92,14,84,0,49,149,1,0
1,69,60,24,1,46,338,1,1
1,78,7,41,0,11,11,0,1
0,0,30,37,1,46,17,0,1
0,0,60,31,1,12,259,4,1
0,0,30,26,0,49,148,2,1
1,41,14,68,0,46,133,0,1
1,53,30,99,0,10,318,1,0
1,52,90,80,1,18,237,1,1
1,68,60,66,1,34,19,3,0
1,51,30,35,0,38,478,0,1
0,0,7,34,1,25,221,4,1
0,0,180,19,1,45,121,2,1
1,71,60,54,1,13,17,4,0
0,0,30,92,1,44,301,1,1
0,0,90,20,0,43,486,4,1
1,66,30,86,1,23,371,1,0
0,0,30,62,0,40,469,1,1
1,80,60,81,1,0,262,1,0
1,56,14,77,0,42,23,1,1
1,79,180,37,1,21,249,1,1
0,0,60,84,1,22,447,3,1
1,73,60,74,1,18,251,4,0
1,99,14,58,1,17,478,3,0
1,63,7,56,0,11,351,3,0
1,84,30,61,0,27,158,0,0
0,0,60,97,0,27,245,0,1
0,0,30,63,1,32,315,0,1
1,45,30,69,1,18,487,2,0
1,58,60,66,1,27,176,0,0
1,69,14,56,0,48,29,4,0
1,46,60,40,0,36,225,3,1
1,49,7,55,0,25,352,4,0
1,80,180,35,1,34,144,0,1
1,71,30,14,0,33,402,2,1
0,0,14,93,1,34,138,2,1
0,0,30,61,0,39,419,3,1
1,99,30,84,0,15,431,4,0
1,54,60,63,0,37,303,1,0
0,0,60,42,0,12,255,4,1
1,76,60,59,1,22,198,0,0
0,0,14,47,0,21,53,1,1
0,0,14,36,1,15,95,2,1
1,43,7,24,0,27,53,3,0
1,59,60,70,1,47,339,3,0
0,0,90,30,0,34,384,2,1
1,75,30,55,0,44,455,0,0
1,89,14,78,0,45,387,2,0
0,0,60,15,0,7,399,0,1
1,66,90,47,0,43,154,1,1
1,56,60,71,0,21,60,2,0
0,0,90,95,0,20,251,0,1
1,61,30,71,0,25,303,1,0
1,56,14,91,1,39,417,2,0
0,0,90,87,0,20,60,3,1
1,93,60,83,0,24,275,2,0
0,0,30,55,0,40,129,4,1
0,0,60,22,1,0,209,2,1
1,65,90,12,1,5,414,4,1
1,95,60,15,0,22,257,1,1
1,98,60,17,1,22,79,2,0
1,57,30,53,0,42,350,1,0
1,89,30,42,1,42,66,1,0
0,0,30,90,1,22,391,0,1
1,86,90,84,0,31,48,1,1
1,68,90,86,0,29,481,1,1
0,0,90,59,0,12,298,2,1
1,75,7,20,0,42,452,2,1
0,0,60,37,1,17,27,3,1
1,74,60,79,0,22,449,0,0
1,91,60,50,1,14,229,1,0
0,0,60,25,0,32,322,0,1
0,0,90,77,0,20,253,4,1
0,0,30,57,1,38,361,1,1
0,0,30,65,0,22,469,0,1
0,0,14,73,0,26,313,3,1
1,45,30,68,1,44,307,3,0
1,86,60,99,0,43,292,1,0
0,0,60,71,1,17,83,4,1
0,0,14,85,1,23,119,3,1
0,0,14,20,0,46,189,3,1
1,50,60,98,0,39,435,4,0
1,97,7,27,0,41,41,0,1
0,0,14,28,0,6,243,3,1
1,65,7,96,0,49,291,2,0
0,0,14,64,0,47,34,3,1
0,0,14,91,1,19,340,0,1
1,73,30,35,1,26,288,0,1
0,0,30,15,1,5,235,1,1
0,0,90,13,1,26,66,2,1
1,56,30,38,0,8,189,0,0
0,0,60,68,1,44,241,4,1
1,52,14,26,1,30,391,2,0
0,0,14,52,1,20,352,2,1
1,78,60,89,0,25,486,4,0
0,0,7,75,0,39,296,3,1
1,94,30,43,0,47,73,4,1
1,68,60,17,0,44,464,4,1
0,0,60,22,0,12,241,3,1
1,50,7,17,0,48,298,3,1
1,91,30,74,1,22,222,3,0
0,0,60,52,0,19,267,3,1
0,0,14,48,0,36,27,3,1
1,86,60,90,0,27,184,4,0
0,0,60,68,0,16,426,1,1
1,59,180,93,0,27,238,1,1
1,61,14,97,0,40,235,0,0
1,50,90,95,0,1,93,1,0
0,0,30,95,1,24,300,1,1
0,0,30,53,0,49,444,4,1
0,0,14,18,1,40,379,3,1
0,0,60,46,0,5,255,3,1
1,95,14,83,0,10,411,4,0
1,67,30,45,1,37,119,1,1
1,68,7,37,0,5,263,4,1
1,60,90,51,1,44,97,0,1
1,86,60,52,0,10,81,3,0
0,0,60,94,1,13,390,2,1
1,76,30,97,0,1,39,0,0
1,98,14,51,1,39,181,0,0
1,59,60,75,0,2,318,4,0
0,0,30,64,1,34,403,1,1
0,0,14,81,0,32,352,3,1
1,96,60,57,0,23,445,2,0
1,44,180,31,0,18,186,0,1
0,0,60,36,0,17,148,2,1
1,98,60,76,0,48,203,1,0
0,0,180,22,1,23,195,1,1
0,0,14,54,1,44,227,2,1
1,99,60,19,1,34,173,3,0
1,77,180,18,0,0,170,1,1
0,0,14,63,0,35,440,2,1
1,73,60,36,1,24,22,0,1
1,74,60,43,0,44,305,2,1
0,0,60,10,0,48,98,2,1
0,0,60,41,0,42,333,4,1
0,0,90,98,1,33,51,1,1
0,0,60,80,1,24,412,3,1
1,57,7,76,0,15,219,3,0
1,54,90,93,0,33,238,4,1
0,0,14,29,1,28,359,3,1
1,55,30,44,0,18,284,2,1
1,66,30,99,0,22,451,4,0
0,0,30,87,0,18,288,0,1
1,99,30,26,0,24,260,1,1
1,85,90,27,1,15,319,1,1
1,64,60,54,1,8,217,1,0
1,56,60,93,0,0,330,2,0
1,68,7,62,1,41,149,0,0
1,92,90,91,1,18,289,4,0
1,47,90,77,1,32,43,4,0
0,0,60,74,1,33,318,1,1
0,0,7,10,1,15,401,0,1
1,85,7,67,1,43,27,0,0
0,0,14,35,1,39,66,0,1
1,91,14,29,1,17,121,3,0
1,46,30,96,0,33,14,3,0
0,0,90,19,0,24,419,1,1
1,68,30,68,0,44,423,0,0
0,0,7,84,1,5,191,0,0
1,92,30,50,1,20,22,4,0
0,0,7,14,0,5,348,4,1
1,99,7,74,0,31,294,1,0
0,0,30,26,0,40,268,0,1
1,42,30,31,1,47,99,1,1
0,0,60,50,0,42,113,4,1
1,85,180,77,1,38,388,4,0
1,54,30,78,1,30,195,3,0
0,0,30,20,0,41,259,1,1
1,69,90,65,0,9,264,1,0
0,0,30,60,1,29,85,0,1
0,0,14,30,1,17,395,0,1
1,56,90,85,0,23,468,3,1
0,0,7,35,1,8,117,2,1
1,59,60,28,1,30,165,2,1
0,0,60,69,1,14,91,2,0
1,48,30,80,0,3,86,1,0
1,77,30,56,1,39,494,1,0
0,0,60,80,0,8,479,4,1
0,0,7,35,0,44,469,1,1
1,99,14,49,0,8,267,1,0
0,0,60,14,0,25,136,1,1
1,93,30,30,1,3,494,3,0
1,92,14,87,1,16,400,1,0
1,92,90,13,1,15,291,0,1
1,41,30,32,1,14,483,0,0
1,63,90,93,0,34,97,4,1
1,47,60,24,1,4,213,3,0
0,0,60,17,1,4,25,0,1
0,0,30,50,1,19,160,3,1
0,0,180,28,0,14,433,3,1
1,47,14,55,1,17,263,4,0
1,60,60,37,1,46,197,3,0
0,0,14,77,1,1,338,1,0
0,0,30,24,0,28,41,3,1
1,57,30,46,0,12,280,4,1
0,0,90,10,1,3,494,4,1
0,0,180,76,1,41,406,4,1
0,0,14,33,1,44,14,0,1
0,0,7,36,1,9,468,1,1
0,0,60,49,0,30,339,0,1
1,50,30,72,0,40,317,2,1
0,0,7,70,1,7,342,1,0
0,0,60,45,0,2,178,3,1
1,72,30,33,1,47,190,4,0
1,99,180,33,0,45,375,2,1
1,77,14,13,0,8,187,1,0
0,0,30,76,1,29,152,0,1
0,0,30,43,0,10,371,4,1
1,50,60,66,1,34,257,0,0
1,61,30,58,1,36,136,1,0
1,90,60,96,1,41,272,1,0
0,0,14,62,1,12,49,2,1
0,0,90,32,0,35,421,3,1
0,0,30,78,0,12,425,0,1
1,51,14,62,0,11,364,2,0
1,96,60,71,0,36,264,4,0
1,85,14,50,0,9,152,3,0
1,71,7,66,1,8,249,2,0
0,0,90,69,1,6,237,0,1
0,0,30,63,1,1,350,1,0
0,0,60,79,0,22,207,4,1
0,0,30,66,0,38,74,0,1
1,67,60,19,1,39,397,3,0
0,0,14,49,0,38,20,3,1
0,0,30,16,0,20,117,1,1
0,0,180,47,0,22,35,1,1
1,79,60,94,1,28,454,4,0
1,71,30,70,1,13,430,4,0
1,89,30,93,1,25,160,1,0
0,0,90,12,1,4,230,1,1
0,0,30,60,1,30,350,3,1
1,41,60,95,0,24,246,1,0
0,0,60,56,1,30,246,2,1
0,0,7,77,0,49,228,0,1
1,80,14,85,0,19,496,1,0
1,52,60,47,0,43,433,4,1
0,0,14,45,1,16,470,2,1
1,72,30,50,0,44,160,4,0
0,0,90,78,0,1,132,2,1
1,91,60,22,1,24,153,1,0
0,0,60,96,1,12,487,0,1
1,61,60,67,0,38,198,4,0
1,78,60,59,1,27,264,2,0
0,0,7,39,1,41,77,3,1
1,77,30,71,1,5,113,1,0
1,78,30,34,1,2,345,0,0
1,65,30,36,0,34,168,1,1
0,0,60,60,1,17,318,3,1
0,0,30,87,0,10,371,0,1
0,0,30,66,0,19,418,3,1
1,54,30,56,0,4,309,1,0
1,73,7,48,0,18,405,2,1
1,81,30,25,0,21,99,1,0
1,94,14,31,1,18,366,1,0
1,83,14,94,0,46,265,1,0
1,88,7,63,0,15,362,4,0
1,79,30,30,0,23,229,3,0
0,0,60,81,0,40,18,3,1
1,42,30,25,1,3,21,3,0
1,98,30,68,1,14,334,4,0
0,0,60,40,0,24,447,2,1
1,48,14,51,1,43,253,1,0
0,0,90,83,0,34,191,2,1
0,0,30,41,1,13,293,4,1
0,0,30,68,1,48,321,3,1
1,70,60,43,1,18,108,1,0
0,0,14,18,1,37,206,0,1
1,80,60,90,0,35,491,0,0
1,89,30,20,1,6,375,2,0
1,51,90,19,0,29,235,3,1
0,0,14,95,0,18,342,0,1
1,47,30,26,1,48,112,2,1
1,89,60,77,0,24,115,4,0
0,0,7,57,0,15,374,2,1
1,59,30,61,0,46,377,2,1
1,86,60,34,1,39,67,2,0
1,98,90,30,0,7,87,1,1
1,46,30,74,0,17,84,2,1
1,50,60,72,1,27,51,2,0
1,59,180,98,1,15,431,1,0
0,0,90,60,0,18,333,1,1
1,43,14,45,1,41,190,4,0
1,45,60,90,0,16,42,3,0
0,0,30,97,1,44,80,0,1
1,61,180,75,0,12,65,0,1
0,0,30,24,0,6,114,2,1
1,42,14,48,1,26,209,4,1
1,80,60,79,1,9,110,2,0
1,99,30,10,0,33,265,0,0
1,81,180,32,0,35,316,1,1
1,53,180,48,0,24,83,3,1
1,50,60,66,1,5,180,4,0
1,57,14,90,1,23,386,1,0
1,93,60,43,1,17,152,3,0
1,51,7,50,0,22,175,4,0
1,62,7,82,1,5,408,4,0
1,51,90,22,1,28,270,0,1
1,52,14,79,0,24,230,1,0
0,0,30,15,0,16,92,4,1
1,84,180,93,1,45,191,4,0
0,0,30,61,1,23,316,3,1
0,0,30,12,0,10,19,0,1
1,58,90,90,0,25,405,2,1
0,0,14,72,1,33,13,0,1
0,0,60,58,0,27,360,2,1
1,75,180,85,0,2,411,1,1
1,84,90,56,1,10,345,1,0
0,0,60,64,1,37,497,4,1
0,0,30,73,0,13,301,1,1
1,94,30,74,0,25,290,4,0
1,92,90,90,1,47,224,0,0
1,94,90,76,0,20,469,1,0
1,71,30,99,0,38,107,0,0
0,0,14,24,1,29,429,0,1
1,83,14,41,0,7,110,1,0
1,57,7,77,0,19,460,0,1
0,0,60,27,1,47,18,1,1
1,57,30,92,1,31,70,1,0
1,58,90,52,1,21,318,1,1
0,0,60,44,0,6,155,2,1
0,0,14,87,0,8,436,0,1
1,71,60,67,1,44,428,3,0
1,95,30,42,0,0,72,1,0
1,80,60,23,0,28,130,0,1
1,98,60,43,0,7,235,4,0
1,42,90,70,1,3,114,1,0
1,67,90,13,1,34,471,1,1
1,49,30,97,1,2,269,3,0
1,90,7,68,0,44,358,2,0
1,74,60,38,1,39,434,2,0
1,68,14,92,0,6,264,1,0
1,93,30,15,1,26,438,0,0
1,54,7,58,1,0,443,4,0
1,72,60,49,0,26,216,4,1
0,0,14,92,0,15,37,0,1
1,51,60,74,1,37,179,1,0
0,0,180,78,1,6,345,4,1
0,0,7,36,0,43,85,2,1
1,60,7,89,1,22,125,0,0
1,70,30,15,1,40,78,3,0
1,97,90,22,0,10,363,1,1
1,63,14,73,1,41,243,0,0
0,0,30,71,1,32,10,4,1
1,76,7,28,1,49,176,1,0
1,43,60,85,1,35,361,2,0
1,67,30,89,1,36,227,1,0
1,83,60,52,1,40,282,1,0
0,0,90,83,1,16,377,2,1
1,99,14,98,1,34,260,2,0
1,63,90,29,0,47,356,1,1
0,0,7,77,1,4,353,2,1
0,0,90,53,1,47,428,0,1
1,90,60,32,0,31,183,2,0
1,71,90,11,0,2,179,2,1
1,80,7,31,1,46,255,1,0
1,75,14,66,0,34,432,0,0
1,97,30,81,1,13,99,3,0
1,92,30,16,1,47,58,3,0
1,73,14,87,0,30,455,4,0
1,75,30,65,0,30,303,2,0
0,0,14,76,1,16,416,2,1
1,54,30,25,1,23,159,0,1
1,73,90,92,0,22,141,3,1
1,75,30,60,1,17,442,4,0
0,0,7,91,0,49,68,0,1
1,78,30,89,1,13,466,2,0
1,81,7,81,0,49,333,3,0
0,0,180,21,0,14,208,4,1
0,0,14,62,0,14,224,1,1
0,0,60,84,0,5,395,3,1
1,93,180,14,0,26,58,4,1
1,51,90,36,1,14,481,0,1
0,0,60,21,1,49,241,1,1
0,0,90,26,1,35,256,4,1
1,57,180,15,0,7,391,4,1
1,79,60,14,0,14,488,2,1
1,60,60,66,1,2,248,3,0
0,0,60,37,1,46,424,2,1
1,72,30,87,1,12,376,1,0
1,74,60,78,0,40,177,4,0
1,65,30,68,1,33,57,2,0
1,47,14,42,0,23,60,3,1
1,75,14,71,0,39,308,1,0
1,87,7,59,1,31,107,0,0
0,0,30,28,1,31,448,2,1
1,62,7,95,1,29,225,1,0
1,81,60,78,1,48,186,0,0
1,83,30,75,1,12,389,2,0
1,53,90,56,1,0,483,1,0
1,53,7,48,0,33,89,1,1
1,41,14,77,1,14,194,2,0
1,94,60,42,1,43,376,1,0
1,76,60,22,0,13,470,4,1
1,44,7,93,0,28,408,2,0
0,0,90,63,1,33,36,1,1
1,84,90,16,0,17,461,0,1
0,0,30,88,1,6,473,0,0
1,93,30,96,0,28,457,4,0
0,0,180,23,0,30,487,2,1
0,0,60,96,0,24,423,1,1
1,53,30,28,1,37,429,1,0
1,95,90,63,0,13,204,0,1
1,78,30,29,1,7,223,4,0
1,64,30,38,1,26,378,0,1
0,0,30,33,1,1,351,0,1
0,0,60,91,1,16,123,4,1
0,0,60,72,1,36,251,2,1
1,45,60,83,0,13,133,1,0
0,0,30,66,0,24,314,2,1
0,0,14,17,1,29,85,3,1
1,64,30,99,1,28,320,3,0
1,96,60,71,1,19,478,3,0
0,0,30,38,1,20,321,4,1
1,41,7,83,1,21,205,0,0
0,0,90,26,0,34,360,2,1
1,76,7,75,1,36,53,1,0
0,0,180,15,1,15,424,3,1
1,40,7,67,1,49,195,2,0
1,79,60,78,0,48,352,3,0
1,51,7,37,0,42,255,3,1
0,0,90,71,0,16,446,1,1
0,0,30,50,0,15,93,4,1
1,84,14,78,1,1,216,0,0
1,62,30,91,1,3,160,4,0
0,0,14,99,0,20,165,2,1
1,70,14,93,1,38,25,4,0
0,0,90,50,0,33,174,2,1
1,49,30,58,1,29,414,2,0
1,42,60,58,1,5,472,0,0
1,93,60,85,0,16,154,1,0
1,53,60,80,0,38,46,0,0
0,0,14,12,0,24,342,4,1
1,49,14,19,1,4,412,2,0
1,68,60,98,0,4,423,3,0
0,0,180,44,1,19,54,3,1
1,51,30,89,1,15,411,2,0
1,69,30,11,1,40,215,0,1
0,0,30,33,1,36,71,1,1
0,0,180,83,1,39,429,0,1
1,44,30,47,1,8,365,2,0
0,0,30,31,1,4,477,2,1
0,0,90,35,1,41,317,1,1
1,82,7,52,1,1,28,4,0
1,51,7,64,1,8,374,4,0
0,0,60,48,1,42,309,1,1
0,0,90,38,0,35,16,4,1
1,93,14,29,1,21,258,3,0
0,0,30,50,1,21,437,4,1
0,0,30,63,1,21,126,4,1
1,96,30,29,0,33,77,4,1
1,82,60,28,0,28,43,3,1
1,76,30,93,0,37,203,4,0
0,0,30,75,0,45,334,3,1
1,76,30,39,1,32,64,1,1
1,51,60,62,0,17,275,0,0
0,0,30,43,0,6,489,1,1
0,0,90,31,1,0,51,0,1
1,88,7,76,1,32,306,1,0
0,0,90,15,1,0,470,0,1
1,83,90,88,0,23,240,0,1
0,0,30,36,0,3,462,2,1
